S2-2,S1-6,S1-2,S3,PAIa21-1,PTIa41-2,S6,S5,CI3a32-2,S7,label
66,0.0239377004972973,0.2133301304515609,-0.1658471653333271,1.0,65.65905092592592,7,4.018525303196837,0.0,0.2710280373831775,7
71,0.0242233963526953,0.2185864813045885,-0.1878959698259054,1.0,30.80017361111112,5,2.3791190775452207,0.0,0.4545454545454546,8
66,0.0239377004972973,0.2133301304515609,-0.1658471653333271,1.0,65.65905092592592,7,4.018525303196837,0.0,0.2710280373831775,8
522,0.1737177610791821,0.9705852645271948,-0.3211163123819776,1.0,100.130625,5,2.00339650720007,0.0,0.5,8
71,0.0242233963526953,0.2185864813045885,-0.1878959698259054,1.0,30.80017361111112,5,2.3791190775452207,0.0,0.4545454545454546,8
133,0.0606921035397241,0.3057612987606645,-0.1431632947402664,1.0,10.815370370370369,5,2.078738266753984,0.0,0.4545454545454546,8
1,0.0150983554728951,0.9629260977322192,-0.3215895315855331,0.0,0.0,4,1.6810933940774488,0.0,0.375,9
297,0.1728461427400789,0.2569233657086048,-0.1196359313457077,3e-05,0.0063194444444444,5,2.7470184337498456,16.13144137415982,0.350907029478458,9
297,0.1728461427400789,0.2569233657086048,-0.1196359313457077,3e-05,0.0063194444444444,5,2.7470184337498456,16.13144137415982,0.350907029478458,9
33,0.1298599967432293,0.1514934921698708,-0.1740563588932899,0.0,0.0037268518518518,4,2.7937623740351034,268.3229813664596,0.607843137254902,9
317,0.1725426015823951,0.2349923830839111,-0.1831707591347126,0.4994,188.9315740740741,5,1.9762952657418429,0.0052929215505711,0.5,9
443,0.2134447920504478,0.4134303943400094,-0.254227186795002,1.0,0.1741550925925926,5,2.022688538559864,0.0,0.3592486923442701,10
2043,0.6857288442231944,0.6998598584791532,-0.2332574380699731,1.0,0.2956134259259259,5,2.494642599277978,0.0,0.3452637631162857,10
216,0.1975922656647236,0.3745598745034112,-0.272468843554948,1.0,0.0369791666666666,5,2.0194581939799328,0.0,0.3928325292901447,10
1848,0.615788125782865,0.7006903287756638,-0.2878634796653761,1.0,0.1532638888888889,5,2.1927180966113915,0.0,0.34,10
370,0.169333595332253,0.3543696378819349,-0.2228499701219806,1.0,0.1842245370370368,5,2.0294197125149283,0.0,0.3466312056737589,10
23,0.0228053516569688,0.1015295569571957,-0.1183319151558189,0.26262,0.0040972222222222,7,5.373950300833324,0.0286341984462633,0.289419795221843,11
19,0.140285748637519,0.1710923564179421,-0.1396666250943667,1.0,0.5110532407407408,8,3.7572208827436895,0.0,0.2899408284023668,11
2661,0.8865352358226272,0.8874920433180491,-0.287309749063801,1.0,0.4901504629629629,5,1.9137705530642748,0.0,0.3529411764705882,11
268,0.0907449540614733,1.0142964169918465,-0.3254703165239535,1.0,0.5861111111111111,5,1.9980130149524968,0.0,0.3349814585908529,11
16,0.0356397908863065,0.0841948171443128,-0.1221691902870047,0.08227,0.0086458333333333,7,3.9712282960499263,0.0282089933797018,0.2909647779479326,11
15,0.3076052463208957,0.3289438896350775,-0.1737897550411498,0.01044,0.9902777777777778,8,2.2217760761975907,1.0098176718092566,0.3333333333333333,12
10,0.7274178114332109,0.7326554198261277,-0.2290326917121189,0.01095,0.6383912037037037,8,3.063927507447865,0.3823888682351691,0.3571428571428571,12
211,0.0962292069525077,0.4998483792976537,-0.1530562972345282,0.0002,0.0082638888888888,6,2.0132551037743283,121.0084033613445,0.5098039215686274,12
211,0.0962292069525077,0.4998483792976537,-0.1530562972345282,0.0002,0.0082638888888888,6,2.0132551037743283,121.0084033613445,0.5098039215686274,12
373,0.1671564728722331,0.3913667379674057,-0.1917389281782571,0.04304,0.2132291666666666,6,2.067837345649059,4.689789936492428,0.3692307692307692,12
